model_name,instrument_type,entry_date,exit_date,entry_premium,exit_premium,multiplier,dollar_pnl,exit_reason,strike,dte,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-06,2026-05-07,1.4958557918681379,6.877045265100037,100,-538.1189473231899,underlying_touch,728.0,1.0,MID_VOL_CHOP,0.271616,1.0,conservative,1.2,17.389999389648438,95.26000213623047,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-08,2026-05-11,1.4381355876991222,4.274539577569897,100,-283.64039898707745,underlying_touch,736.0,1.0,MID_VOL_CHOP,0.16001,1.0,conservative,1.2,17.190000534057617,93.61000061035156,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-11,2026-05-12,1.6644757752109172,0.0,100,166.44757752109172,expiration,742.0,1.0,MID_VOL_CHOP,0.183348,1.0,conservative,1.2,18.3799991607666,96.77999877929688,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-12,2026-05-13,1.8207269669409527,0.0,100,182.07269669409527,expiration,743.0,1.0,MID_VOL_CHOP,0.162778,1.0,conservative,1.2,17.989999771118164,98.05999755859375,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-13,2026-05-14,1.7570380818958142,3.3765377501465537,100,-161.94996682507394,underlying_touch,742.0,1.0,STABLE_LOW_VOL_TREND,0.05784,1.0,conservative,1.2,17.8700008392334,98.55000305175781,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-14,2026-05-15,1.7128169441126317,4.652932684241762,100,-294.011574012913,underlying_touch,746.0,1.0,MID_VOL_CHOP,0.152673,1.0,conservative,1.2,17.260000228881836,98.36000061035156,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-15,2026-05-18,1.5821575873268046,0.17227077899936916,100,140.98868083274354,profit_exit,753.0,1.0,STABLE_LOW_VOL_TREND,0.060084,1.0,conservative,1.2,18.43000030517578,94.26000213623047,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-18,2026-05-19,1.7494468296418404,0.0,100,174.94468296418404,expiration,743.0,1.0,MID_VOL_CHOP,0.102196,1.0,conservative,1.2,17.81999969482422,92.94000244140625,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-19,2026-05-20,1.6254947148896406,0.0,100,162.54947148896406,expiration,743.0,1.0,MID_VOL_CHOP,0.176628,1.0,conservative,1.2,18.059999465942383,91.18000030517578,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-20,2026-05-21,1.529856249214106,5.006233857249242,100,-347.63776080351363,underlying_touch,738.0,1.0,MID_VOL_CHOP,0.146307,1.0,conservative,1.2,17.440000534057617,94.61000061035156,0.0,0.0
