model_name,date,spy_close,vix,leap_open,leap_premium_estimate,leap_delta,leap_exposure_pct,leap_daily_pnl,leap_cumulative_pnl,short_call_open,short_call_strike,short_call_entry_premium,short_call_mtm_value,short_call_daily_pnl,short_call_cumulative_pnl,total_daily_pnl,total_cumulative_pnl,overwrite_daily_pnl,avoided_leap_drawdown_estimate,missed_leap_upside_estimate
heuristic_policy,2025-04-21,530.62,45.310001373291016,True,94.84,0.75,0.75,-1547.14,10540.39,True,538.0,3.09,3.09,212.2,-1500.36,-1334.93,9040.02,212.2,687.62,0.0
heuristic_policy,2025-04-22,499.55,46.97999954223633,False,77.37,0.75,0.0,-1747.35,8793.04,False,,,,306.15,-1194.21,-1441.2,7598.83,306.15,3106.4,0.0
heuristic_policy,2025-04-23,498.66,52.33000183105469,True,99.33,0.75,1.0,-66.73,8726.31,True,507.0,3.26,3.26,0.0,-1194.21,-66.73,7532.09,0.0,0.0,0.0
heuristic_policy,2025-04-24,490.85,33.619998931884766,True,94.94,0.75,0.75,-439.34,8286.97,True,496.0,2.09,2.09,297.31,-896.91,-142.03,7390.06,297.31,195.26,0.0
heuristic_policy,2025-04-25,542.4,40.720001220703125,False,123.94,0.75,0.0,2899.64,11186.6,False,,,,-4431.19,-5328.09,-1531.55,5858.51,-4431.19,0.0,5154.91
heuristic_policy,2025-04-28,518.63,37.560001373291016,True,82.17,0.75,1.0,-1782.57,9404.03,True,525.0,2.38,2.38,0.0,-5328.09,-1782.57,4075.94,0.0,0.0,0.0
heuristic_policy,2025-04-29,527.89,30.889999389648438,True,87.38,0.75,0.75,520.53,9924.56,True,533.0,2.06,2.06,-330.92,-5659.01,189.62,4265.55,-330.92,0.0,231.35
heuristic_policy,2025-04-30,533.01,30.1200008392334,True,90.26,0.75,0.75,288.08,10212.64,True,538.0,2.04,2.04,-198.26,-5857.27,89.82,4355.37,-198.26,0.0,128.03
heuristic_policy,2025-05-01,531.52,32.63999938964844,True,89.42,0.75,0.75,-83.98,10128.66,True,537.0,2.18,2.18,15.16,-5842.11,-68.82,4286.55,15.16,37.32,0.0
heuristic_policy,2025-05-02,519.7,29.649999618530273,True,82.77,0.75,0.75,-664.57,9464.09,True,525.0,1.8,1.8,201.72,-5640.39,-462.85,3823.71,201.72,295.36,0.0
heuristic_policy,2025-05-05,520.44,33.81999969482422,True,83.19,0.75,0.75,41.71,9505.8,True,526.0,2.21,2.21,-72.79,-5713.18,-31.08,3792.63,-72.79,0.0,18.54
heuristic_policy,2025-05-06,508.06,30.56999969482422,False,76.22,0.75,0.0,-696.82,8808.98,False,,,,206.88,-5506.29,-489.94,3302.69,206.88,1238.79,0.0
heuristic_policy,2025-05-07,521.27,28.450000762939453,True,109.91,0.75,1.0,991.38,9800.37,True,526.0,1.85,1.85,0.0,-5506.29,991.38,4294.07,0.0,0.0,0.0
heuristic_policy,2025-05-08,529.35,26.469999313354492,True,114.46,0.75,0.75,454.35,10254.72,True,534.0,1.69,1.69,-359.17,-5865.47,95.18,4389.25,-359.17,0.0,201.93
heuristic_policy,2025-05-09,540.49,24.84000015258789,False,120.72,0.75,0.0,626.76,10881.48,False,,,,-586.66,-6452.13,40.1,4429.35,-586.66,0.0,1114.24
heuristic_policy,2025-05-12,544.4,25.149999618530273,True,102.93,0.75,1.0,292.89,11174.36,True,549.0,1.63,1.63,0.0,-6452.13,292.89,4722.23,0.0,0.0,0.0
heuristic_policy,2025-05-13,544.61,24.170000076293945,True,103.05,0.75,0.75,11.68,11186.04,True,549.0,1.58,1.58,5.46,-6446.67,17.14,4739.37,5.46,0.0,5.19
heuristic_policy,2025-05-14,548.04,24.700000762939453,True,104.98,0.75,0.75,192.97,11379.02,True,552.0,1.79,1.79,-136.85,-6583.52,56.13,4795.5,-136.85,0.0,85.77
heuristic_policy,2025-05-15,548.26,24.600000381469727,True,105.1,0.75,0.75,12.23,11391.25,True,553.0,1.54,1.54,-5.9,-6589.42,6.33,4801.83,-5.9,0.0,5.44
heuristic_policy,2025-05-16,552.14,22.68000030517578,True,107.28,0.75,0.75,218.56,11609.8,True,556.0,1.6,1.6,-119.36,-6708.78,99.2,4901.02,-119.36,0.0,97.14
heuristic_policy,2025-05-19,560.34,23.639999389648438,True,111.89,0.75,0.75,461.03,12070.84,True,565.0,1.52,1.52,-432.93,-7141.71,28.1,4929.13,-432.93,0.0,204.9
heuristic_policy,2025-05-20,557.12,24.760000228881836,True,110.09,0.75,0.75,-180.74,11890.1,True,561.0,1.88,1.88,63.71,-7078.0,-117.03,4812.1,63.71,80.33,0.0
heuristic_policy,2025-05-21,552.47,23.549999237060547,True,107.47,0.75,0.75,-261.94,11628.16,True,557.0,1.5,1.5,123.29,-6954.71,-138.64,4673.45,123.29,116.42,0.0
heuristic_policy,2025-05-22,554.79,22.479999542236328,True,108.77,0.75,0.75,130.69,11758.85,True,559.0,1.48,1.48,-65.62,-7020.32,65.08,4738.53,-65.62,0.0,58.09
heuristic_policy,2025-05-23,558.66,21.899999618530273,True,110.95,0.75,0.75,217.44,11976.29,True,563.0,1.39,1.39,-142.74,-7163.07,74.7,4813.23,-142.74,0.0,96.64
heuristic_policy,2025-05-26,557.94,18.389999389648438,True,110.55,0.75,0.75,-40.04,11936.26,True,561.0,1.34,1.34,57.85,-7105.22,17.81,4831.03,57.85,17.79,0.0
heuristic_policy,2025-05-27,576.38,18.219999313354492,False,120.92,0.75,0.0,1037.17,12973.43,False,,,,-1406.3,-8511.52,-369.13,4461.91,-1406.3,0.0,1843.86
heuristic_policy,2025-05-28,580.19,18.6200008392334,True,102.85,0.75,1.0,285.48,13258.9,True,584.0,1.23,1.23,0.0,-8511.52,285.48,4747.38,0.0,0.0,0.0
heuristic_policy,2025-05-29,580.93,17.829999923706055,True,103.27,0.75,0.75,41.71,13300.61,True,584.0,1.36,1.36,-12.53,-8524.05,29.18,4776.56,-12.53,0.0,18.54
heuristic_policy,2025-05-30,583.77,17.239999771118164,True,104.87,0.75,0.75,159.61,13460.22,True,587.0,1.24,1.24,-105.81,-8629.86,53.8,4830.36,-105.81,0.0,70.94
heuristic_policy,2025-06-02,587.47,18.139999389648438,True,106.95,0.75,0.75,207.99,13668.21,True,591.0,1.28,1.28,-167.52,-8797.38,40.47,4870.83,-167.52,0.0,92.44
heuristic_policy,2025-06-03,588.11,18.09000015258789,True,107.31,0.75,0.75,36.15,13704.36,True,591.0,1.48,1.48,-19.81,-8817.19,16.34,4887.17,-19.81,0.0,16.06
heuristic_policy,2025-06-04,586.13,20.8700008392334,True,106.2,0.75,0.75,-111.22,13593.13,True,590.0,1.53,1.53,23.47,-8793.72,-87.75,4799.41,23.47,49.43,0.0
heuristic_policy,2025-06-05,576.25,20.280000686645508,True,100.64,0.75,0.75,-555.57,13037.57,True,580.0,1.44,1.44,143.33,-8650.39,-412.24,4387.17,143.33,246.92,0.0
heuristic_policy,2025-06-06,576.48,22.290000915527344,True,100.77,0.75,0.75,12.79,13050.36,True,581.0,1.47,1.47,-33.48,-8683.87,-20.69,4366.49,-33.48,0.0,5.69
heuristic_policy,2025-06-09,572.55,18.959999084472656,True,98.56,0.75,0.75,-221.34,12829.01,True,576.0,1.35,1.35,110.59,-8573.29,-110.76,4255.73,110.59,98.37,0.0
heuristic_policy,2025-06-10,584.45,19.309999465942383,True,105.25,0.75,0.75,669.58,13498.6,True,588.0,1.42,1.42,-749.91,-9323.2,-80.33,4175.4,-749.91,0.0,297.59
heuristic_policy,2025-06-11,581.07,19.18000030517578,True,103.35,0.75,0.75,-190.2,13308.4,True,585.0,1.27,1.27,80.58,-9242.62,-109.62,4065.78,80.58,84.53,0.0
heuristic_policy,2025-06-12,583.36,18.56999969482422,True,104.64,0.75,0.75,129.02,13437.42,True,587.0,1.29,1.29,-71.41,-9314.03,57.61,4123.38,-71.41,0.0,57.34
heuristic_policy,2025-06-13,582.71,18.360000610351562,True,104.27,0.75,0.75,-36.7,13400.72,True,586.0,1.36,1.36,21.01,-9293.02,-15.69,4107.7,21.01,16.31,0.0
heuristic_policy,2025-06-16,585.99,17.690000534057617,True,106.12,0.75,0.75,184.64,13585.35,True,589.0,1.38,1.38,-123.69,-9416.71,60.95,4168.65,-123.69,0.0,82.06
heuristic_policy,2025-06-17,589.33,17.610000610351562,True,108.0,0.75,0.75,187.96,13773.32,True,593.0,1.18,1.18,-139.89,-9556.6,48.07,4216.72,-139.89,0.0,83.54
heuristic_policy,2025-06-18,589.18,18.479999542236328,True,107.91,0.75,0.75,-8.9,13764.42,True,593.0,1.25,1.25,-6.47,-9563.07,-15.36,4201.35,-6.47,3.95,0.0
heuristic_policy,2025-06-19,586.33,16.770000457763672,True,106.31,0.75,0.75,-160.17,13604.25,False,,,,79.39,-9483.68,-80.78,4120.57,79.39,71.19,0.0
heuristic_policy,2025-06-20,592.35,17.15999984741211,True,110.82,0.75,1.0,451.57,14055.83,True,596.0,1.14,1.14,0.0,-9483.68,451.57,4572.15,0.0,0.0,0.0
heuristic_policy,2025-06-23,592.88,16.950000762939453,True,111.12,0.75,0.75,30.03,14085.86,False,,,,-13.29,-9496.97,16.74,4588.89,-13.29,0.0,13.35
heuristic_policy,2025-06-24,596.24,17.260000228881836,True,113.65,0.75,1.0,252.11,14337.97,True,599.0,1.44,1.44,0.0,-9496.97,252.11,4841.0,0.0,0.0,0.0
heuristic_policy,2025-06-25,594.54,18.020000457763672,True,112.69,0.75,0.75,-95.66,14242.32,True,598.0,1.32,1.32,40.52,-9456.45,-55.14,4785.86,40.52,42.51,0.0
heuristic_policy,2025-06-26,596.91,20.81999969482422,True,114.02,0.75,0.75,132.91,14375.23,True,601.0,1.5,1.5,-129.31,-9585.76,3.6,4789.47,-129.31,0.0,59.07
heuristic_policy,2025-06-27,590.23,19.110000610351562,True,110.26,0.75,0.75,-375.38,13999.85,True,594.0,1.35,1.35,129.41,-9456.35,-245.97,4543.5,129.41,166.84,0.0
heuristic_policy,2025-06-30,595.85,21.600000381469727,True,113.42,0.75,0.75,315.88,14315.73,True,600.0,1.58,1.58,-288.96,-9745.31,26.92,4570.42,-288.96,0.0,140.39
heuristic_policy,2025-07-01,590.76,20.139999389648438,True,110.56,0.75,0.75,-286.4,14029.33,True,595.0,1.34,1.34,118.02,-9627.29,-168.39,4402.04,118.02,127.29,0.0
heuristic_policy,2025-07-02,590.67,20.6200008392334,True,110.51,0.75,0.75,-5.01,14024.32,True,595.0,1.38,1.38,-3.53,-9630.82,-8.54,4393.5,-3.53,2.22,0.0
heuristic_policy,2025-07-03,589.28,19.829999923706055,True,109.73,0.75,0.75,-78.03,13946.29,True,593.0,1.45,1.45,44.79,-9586.03,-33.24,4360.26,44.79,34.68,0.0
heuristic_policy,2025-07-04,595.1,17.479999542236328,True,113.0,0.75,0.75,327.41,14273.7,True,598.0,1.42,1.42,-234.18,-9820.21,93.23,4453.48,-234.18,0.0,145.51
heuristic_policy,2025-07-07,601.68,16.760000228881836,True,116.7,0.75,0.75,369.8,14643.5,False,,,,-335.62,-10155.84,34.18,4487.66,-335.62,0.0,164.36
heuristic_policy,2025-07-08,602.01,16.59000015258789,True,116.95,0.75,1.0,25.29,14668.78,False,,,,0.0,-10155.84,25.29,4512.94,0.0,0.0,0.0
heuristic_policy,2025-07-09,606.72,16.31999969482422,False,120.49,0.75,0.0,353.25,15022.03,False,,,,0.0,-10155.84,353.25,4866.2,0.0,0.0,471.0
heuristic_policy,2025-07-10,609.74,16.729999542236328,True,102.26,0.75,1.0,226.08,15248.11,False,,,,0.0,-10155.84,226.08,5092.28,0.0,0.0,0.0
heuristic_policy,2025-07-11,612.65,16.829999923706055,True,104.45,0.75,1.0,218.65,15466.76,False,,,,0.0,-10155.84,218.65,5310.92,0.0,0.0,0.0
heuristic_policy,2025-07-14,612.46,16.639999389648438,True,104.3,0.75,1.0,-14.87,15451.89,False,,,,0.0,-10155.84,-14.87,5296.05,0.0,0.0,0.0
heuristic_policy,2025-07-15,615.23,16.3799991607666,True,106.38,0.75,1.0,208.24,15660.13,False,,,,0.0,-10155.84,208.24,5504.29,0.0,0.0,0.0
heuristic_policy,2025-07-16,620.08,17.790000915527344,True,110.02,0.75,1.0,363.67,16023.8,True,624.0,1.25,1.25,0.0,-10155.84,363.67,5867.96,0.0,0.0,0.0
heuristic_policy,2025-07-17,615.46,16.809999465942383,True,107.42,0.75,0.75,-259.93,15763.87,False,,,,95.17,-10060.66,-164.76,5703.2,95.17,115.52,0.0
